JD,X,Y,Z,VX,VY,VZ
2460863.30000000,1.9012556591132415e-01,-4.3126991738524278e+00,2.8077695946853759e-01,-1.3848445263400098e-02,3.2617595212370135e-02,-1.4757406395247015e-03
2460863.40000000,1.8874071788682828e-01,-4.3094373353790125e+00,2.8062938026947998e-01,-1.3848514523810600e-02,3.2619173144055283e-02,-1.4758433033490281e-03
2460863.50000000,1.8735586295367312e-01,-4.3061753389902178e+00,2.8048179079489916e-01,-1.3848583436272705e-02,3.2620753520799635e-02,-1.4759461500587078e-03
2460863.60000000,1.8597100114674672e-01,-4.3029131844412669e+00,2.8033419102648371e-01,-1.3848651998920573e-02,3.2622336348013863e-02,-1.4760491801157219e-03
2460863.70000000,1.8458613250112421e-01,-4.2996508714868398e+00,2.8018658094587567e-01,-1.3848720209879510e-02,3.2623921631123633e-02,-1.4761523939835247e-03
2460863.80000000,1.8320125705851731e-01,-4.2963883998962684e+00,2.8003896053535809e-01,-1.3848788067265598e-02,3.2625509375562252e-02,-1.4762557921265676e-03
2460863.90000000,1.8181637484148028e-01,-4.2931257693927654e+00,2.7989132977510539e-01,-1.3848855569186917e-02,3.2627099586800316e-02,-1.4763593750122296e-03
2460864.00000000,1.8043148589210342e-01,-4.2898629797445693e+00,2.7974368864730725e-01,-1.3848922713741612e-02,3.2628692270301372e-02,-1.4764631431079358e-03
2460864.10000000,1.7904659024621880e-01,-4.2866000307041761e+00,2.7959603713341918e-01,-1.3848989499019098e-02,3.2630287431551545e-02,-1.4765670968830875e-03
2460864.20000000,1.7766168793985013e-01,-4.2833369220235360e+00,2.7944837521484978e-01,-1.3849055923099710e-02,3.2631885076052192e-02,-1.4766712368085870e-03
2460864.30000000,1.7627677901566238e-01,-4.2800736534692474e+00,2.7930070287364811e-01,-1.3849121984054349e-02,3.2633485209312481e-02,-1.4767755633563560e-03
2460864.40000000,1.7489186349716701e-01,-4.2768102247617632e+00,2.7915302008975273e-01,-1.3849187679945658e-02,3.2635087836879288e-02,-1.4768800770012865e-03
2460864.50000000,1.7350694142741660e-01,-4.2735466356665732e+00,2.7900532684511808e-01,-1.3849253008826138e-02,3.2636692964292495e-02,-1.4769847782183316e-03
2460864.60000000,1.7212201284321008e-01,-4.2702828859334145e+00,2.7885762312096302e-01,-1.3849317968739326e-02,3.2638300597114894e-02,-1.4770896674844529e-03
2460864.70000000,1.7073707778154232e-01,-4.2670189753114665e+00,2.7870990889845865e-01,-1.3849382557719447e-02,3.2639910740924746e-02,-1.4771947452781420e-03
2460864.80000000,1.6935213628605447e-01,-4.2637549035645508e+00,2.7856218415941641e-01,-1.3849446773791062e-02,3.2641523401308298e-02,-1.4773000120789335e-03
2460864.90000000,1.6796718838123817e-01,-4.2604906704103316e+00,2.7841444888353528e-01,-1.3849510614970218e-02,3.2643138583889925e-02,-1.4774054683693747e-03
2460865.00000000,1.6658223411113149e-01,-4.2572262756115062e+00,2.7826670305253032e-01,-1.3849574079262609e-02,3.2644756294287085e-02,-1.4775111146320902e-03
2460865.10000000,1.6519727351352323e-01,-4.2539617189150123e+00,2.7811894664738002e-01,-1.3849637164664719e-02,3.2646376538140440e-02,-1.4776169513517452e-03
2460865.20000000,1.6381230662640295e-01,-4.2506970000672206e+00,2.7797117964901447e-01,-1.3849699869163481e-02,3.2647999321106368e-02,-1.4777229790145646e-03
2460865.30000000,1.6242733349441135e-01,-4.2474321188291411e+00,2.7782340203900308e-01,-1.3849762190735943e-02,3.2649624648849442e-02,-1.4778291981078419e-03
2460865.40000000,1.6104235414304396e-01,-4.2441670749156026e+00,2.7767561379680206e-01,-1.3849824127350365e-02,3.2651252527072787e-02,-1.4779356091219251e-03
2460865.50000000,1.5965736861734800e-01,-4.2409018680864765e+00,2.7752781490388279e-01,-1.3849885676964435e-02,3.2652882961472667e-02,-1.4780422125472549e-03
2460865.60000000,1.5827237695612589e-01,-4.2376364980858581e+00,2.7738000534097967e-01,-1.3849946837526390e-02,3.2654515957768866e-02,-1.4781490088763482e-03
2460865.70000000,1.5688737919838591e-01,-4.2343709646572734e+00,2.7723218508877762e-01,-1.3850007606974666e-02,3.2656151521697145e-02,-1.4782559986033102e-03
2460865.80000000,1.5550237538979242e-01,-4.2311052675588794e+00,2.7708435412860061e-01,-1.3850067983237570e-02,3.2657789659001644e-02,-1.4783631822233407e-03
2460865.90000000,1.5411736555686897e-01,-4.2278394065026328e+00,2.7693651243965745e-01,-1.3850127964234352e-02,3.2659430375465488e-02,-1.4784705602347372e-03
2460866.00000000,1.5273234974569613e-01,-4.2245733812455386e+00,2.7678866000317270e-01,-1.3850187547873476e-02,3.2661073676865014e-02,-1.4785781331359074e-03
2460866.10000000,1.5134732799611461e-01,-4.2213071915288118e+00,2.7664079679963210e-01,-1.3850246732053682e-02,3.2662719569000416e-02,-1.4786859014273687e-03
2460866.20000000,1.4996230034817581e-01,-4.2180408370930875e+00,2.7649292280947180e-01,-1.3850305514663668e-02,3.2664368057688097e-02,-1.4787938656112578e-03
2460866.30000000,1.4857726684859235e-01,-4.2147743176936316e+00,2.7634503801376575e-01,-1.3850363893581758e-02,3.2666019148753042e-02,-1.4789020261908317e-03
2460866.40000000,1.4719222752494066e-01,-4.2115076330394938e+00,2.7619714239147214e-01,-1.3850421866676935e-02,3.2667672848059631e-02,-1.4790103836724896e-03
2460866.50000000,1.4580718242435972e-01,-4.2082407828847641e+00,2.7604923592356390e-01,-1.3850479431807164e-02,3.2669329161465602e-02,-1.4791189385627576e-03
2460866.60000000,1.4442213158775347e-01,-4.2049737669677381e+00,2.7590131859027472e-01,-1.3850536586820431e-02,3.2670988094852818e-02,-1.4792276913703081e-03
2460866.70000000,1.4303707505624166e-01,-4.2017065850261259e+00,2.7575339037178742e-01,-1.3850593329554416e-02,3.2672649654119611e-02,-1.4793366426054620e-03
2460866.80000000,1.4165201287761051e-01,-4.1984392368122583e+00,2.7560545124892255e-01,-1.3850649657836171e-02,3.2674313845173102e-02,-1.4794457927796878e-03
2460866.90000000,1.4026694508051479e-01,-4.1951717220322307e+00,2.7545750120038270e-01,-1.3850705569483122e-02,3.2675980673960277e-02,-1.4795551424076423e-03
2460867.00000000,1.3888187171317740e-01,-4.1919040404371861e+00,2.7530954020688564e-01,-1.3850761062301447e-02,3.2677650146421537e-02,-1.4796646920041256e-03
2460867.10000000,1.3749679281759125e-01,-4.1886361917624582e+00,2.7516156824840876e-01,-1.3850816134087058e-02,3.2679322268521702e-02,-1.4797744420861202e-03
2460867.20000000,1.3611170843597034e-01,-4.1853681757427861e+00,2.7501358530487752e-01,-1.3850870782625306e-02,3.2680997046242395e-02,-1.4798843931722895e-03
2460867.30000000,1.3472661861720037e-01,-4.1820999921275259e+00,2.7486559135685473e-01,-1.3850925005690658e-02,3.2682674485574194e-02,-1.4799945457824721e-03
2460867.40000000,1.3334152339104058e-01,-4.1788316406197792e+00,2.7471758638278354e-01,-1.3850978801047655e-02,3.2684354592547982e-02,-1.4801049004397385e-03
2460867.50000000,1.3195642280682396e-01,-4.1755631209676984e+00,2.7456957036312218e-01,-1.3851032166449341e-02,3.2686037373188141e-02,-1.4802154576673227e-03
2460867.60000000,1.3057131690765886e-01,-4.1722944329036125e+00,2.7442154327758744e-01,-1.3851085099638233e-02,3.2687722833543834e-02,-1.4803262179906777e-03
2460867.70000000,1.2918620573687983e-01,-4.1690255761592505e+00,2.7427350510584320e-01,-1.3851137598345987e-02,3.2689410979681255e-02,-1.4804371819369696e-03
2460867.80000000,1.2780108934449882e-01,-4.1657565504809515e+00,2.7412545582819042e-01,-1.3851189660293136e-02,3.2691101817675774e-02,-1.4805483500345670e-03
2460867.90000000,1.2641596776140651e-01,-4.1624873555687767e+00,2.7397739542280858e-01,-1.3851241283189961e-02,3.2692795353643549e-02,-1.4806597228151188e-03
2460868.00000000,1.2503084103807272e-01,-4.1592179911678482e+00,2.7382932386989217e-01,-1.3851292464735016e-02,3.2694491593694287e-02,-1.4807713008104537e-03
